_Job;_BuildID;_Total;Wait/Other;Checkout;Git clone;Build;Test;Declarative: Post Actions
Régi Job;1;410,084;0,4959999999999809;0,0;32,872;292,679;83,367;0,67
Régi Job;2;55,532;0,5169999999999959;0,0;4,844;42,458;6,997;0,716
Régi Job;3;67,132;35,686;0,0;2,434;22,007;6,405;0,6
Régi Job;4;52,718;0,48100000000000875;0,0;3,576;40,922;7,055;0,684
Régi Job;5;36,652;0,6709999999999994;0,0;4,179;24,0;7,095;0,707
Új Job;1;443,536;335,408;23,145;0,0;73,685;11,09;0,208
Új Job;2;245,766;154,827;19,975;0,0;61,595;9,162;0,207
Új Job;3;208,136;106,156;21,359;0,0;69,783;10,618;0,22
Új Job;4;2,494;2,494;0,0;0,0;0,0;0,0;0,0
Új Job;5;534,902;452,85;18,901;0,0;54,721;8,214;0,216
